"","gisjoin","year","diff","male","female"
"516","G4200110",1820,0.009,23542,22733
"517","G4200150",1820,0.025,6070,5484
"518","G4200170",1820,0.005,19116,18726
"519","G4200190",1820,0.029,5392,4801
"520","G4200210",1820,0.015,1694,1593
"521","G4200270",1820,0.018,7147,6649
"522","G4200290",1820,0.012,22765,21686
"523","G4200330",1820,0.066,1325,1017
"524","G4200370",1820,0.01,8988,8633
"525","G4200390",1820,0.024,4923,4474
"526","G4200410",1820,0.008,12000,11606
"527","G4200430",1820,0.008,11010,10643
"528","G4200450",1820,0.014,7610,7200
"529","G4200490",1820,0.036,4575,3966
"530","G4200510",1820,0.01,13908,13377
"531","G4200550",1820,0.015,16440,15452
"532","G4200590",1820,0.009,7915,7639
"533","G4200610",1820,0.015,10374,9765
"534","G4200630",1820,0.006,4498,4384
"535","G4200650",1820,0.047,307,254
"536","G4200710",1820,0.004,34234,33741
"537","G4200750",1820,0.006,8582,8393
"538","G4200770",1820,0.01,9642,9253
"539","G4200790",1820,0.036,10734,9293
"540","G4200810",1820,0.001,6769,6748
"541","G4200830",1820,0.071,416,312
"542","G4200850",1820,0.012,5977,5704
"543","G4200870",1820,0.013,8529,8089
"544","G4200910",1820,0.01,18239,17554
"545","G4200950",1820,0.015,16354,15411
"546","G4200970",1820,0.008,7832,7592
"547","G4200990",1820,0.007,5726,5558
"548","G4201010",1820,-0.028,64086,71551
"549","G4201030",1820,0.033,1539,1351
"550","G4201050",1820,0.022,97,89
"551","G4201070",1820,0.016,5836,5475
"552","G4201110",1820,0.015,7198,6776
"553","G4201150",1820,0.019,5171,4789
"554","G4201170",1820,0.027,2120,1901
"555","G4201190",1820,0.003,9371,9248
"556","G4201210",1820,0.03,2606,2309
"557","G4201230",1820,0.056,1099,877
"558","G4201250",1820,0.01,20439,19599
"559","G4201270",1820,0.024,2162,1965
"560","G4201290",1820,0.018,15821,14719
"561","G4201330",1820,0.007,19640,19107
"562","G4400010",1820,-0.02,2703,2934
"563","G4400030",1820,-0.018,4932,5295
"564","G4400050",1820,-0.025,7491,8279
"565","G4400070",1820,-0.016,17278,18420
"566","G4400090",1820,-0.009,7693,7990
"567","G4500010",1820,0.006,11720,11447
"568","G4500110",1820,0.008,7496,7254
"569","G4500130",1820,0.002,16166,16033
"570","G4500190",1820,0,40119,40093
"571","G4500230",1820,0.008,7204,6985
"572","G4500250",1820,-0.004,3296,3349
"573","G4500290",1820,0.021,13752,12652
"574","G4500310",1820,-0.002,5455,5494
"575","G4500370",1820,0.013,12888,12231
"576","G4500390",1820,0.001,8612,8562
"577","G4500430",1820,0.006,8912,8691
"578","G4500450",1820,0.027,7662,6868
"579","G4500510",1820,0.011,2566,2459
"580","G4500550",1820,0.006,6291,6141
"581","G4500570",1820,0.008,4429,4287
"582","G4500590",1820,-0.003,8782,8900
"583","G4500630",1820,-0.006,3993,4090
"584","G4500670",1820,0.002,5118,5083
"585","G4500690",1820,0.001,3219,3206
"586","G4500710",1820,0.005,8129,7975
"587","G4500750",1820,0.028,8266,7387
"588","G4500755",1820,0,13500,13522
"589","G4500790",1820,0.009,6269,6052
"590","G4500830",1820,0.003,8544,8445
"591","G4500850",1820,0.002,12733,12636
"592","G4500870",1820,0.046,7715,6411
"593","G4500890",1820,0.003,4382,4334
"594","G4500910",1820,0.001,7484,7452
"595","G4700010",1820,-0.003,2319,2349
"596","G4700030",1820,0.02,8328,7684
"597","G4700070",1820,0.008,2034,1971
"598","G4700090",1820,0.007,5705,5553
"599","G4700130",1820,0.011,2170,2074
"600","G4700190",1820,0.014,2485,2350
"601","G4700250",1820,-0.003,2740,2768
"602","G4700290",1820,-0.002,2435,2457
"603","G4700370",1820,0.023,10544,9610
"604","G4700430",1820,0.011,2653,2537
"605","G4700510",1820,0.002,8315,8256
"606","G4700550",1820,0.008,6376,6182
"607","G4700570",1820,0.001,3836,3815
"608","G4700590",1820,-0.001,5655,5669
"609","G4700650",1820,0.008,417,404
"610","G4700710",1820,0.023,764,698
"611","G4700730",1820,0.019,5686,5263
"612","G4700810",1820,0.01,3101,2979
"613","G4700850",1820,0.014,2090,1977
"614","G4700870",1820,0.007,3850,3743
"615","G4700890",1820,0.004,4516,4437
"616","G4700930",1820,-0.001,6503,6531
"617","G4700990",1820,0.018,1695,1576
"618","G4701030",1820,0.005,7454,7307
"619","G4701070",1820,0.004,818,805
"620","G4701150",1820,0.002,1950,1938
"621","G4701190",1820,0.007,11210,10879
"622","G4701230",1820,0.016,1306,1223
"623","G4701250",1820,0.002,6134,6085
"624","G4701290",1820,0.009,853,823
"625","G4701330",1820,0.005,3600,3528
"626","G4701350",1820,0.025,1252,1132
"627","G4701430",1820,0.013,2163,2052
"628","G4701450",1820,0.01,4028,3867
"629","G4701470",1820,0.025,5221,4717
"630","G4701490",1820,0.006,9886,9666
"631","G4701550",1820,0.002,2397,2375
"632","G4701570",1820,0.025,186,168
"633","G4701590",1820,0.006,8889,8691
"634","G4701610",1820,-0.002,4181,4216
"635","G4701630",1820,0.022,3663,3352
"636","G4701650",1820,0.007,9748,9463
"637","G4701770",1820,0.015,5325,5023
"638","G4701790",1820,0.001,4787,4770
"639","G4701810",1820,0.021,1282,1177
"640","G4701850",1820,0.009,4431,4270
"641","G4701870",1820,0.007,10464,10176
"642","G4701890",1820,0.001,9393,9337
"643","G5000010",1820,-0.003,10167,10302
"644","G5000030",1820,-0.001,8040,8085
"645","G5000050",1820,-0.004,8263,8406
"646","G5000070",1820,0.013,8231,7824
"647","G5000090",1820,0.002,1648,1636
"648","G5000110",1820,0.015,8847,8345
"649","G5000130",1820,0.023,1845,1682
"650","G5000170",1820,-0.002,12291,12390
"651","G5000190",1820,-0.011,3411,3565
"652","G5000210",1820,-0.001,14947,15028
"653","G5000230",1820,0.003,7091,7015
"654","G5000250",1820,-0.006,14050,14407
"655","G5000270",1820,-0.005,18917,19316
"656","G5100010",1820,-0.008,7862,8104
"657","G5100030",1820,0.02,10269,9478
"658","G5100070",1820,0.007,5569,5425
"659","G5100090",1820,0.006,5279,5144
"660","G5100150",1820,0.014,8607,8135
"661","G5100170",1820,0.003,2629,2602
"662","G5100190",1820,0.009,9825,9480
"663","G5100195",1820,0.012,5745,5466
