"﻿id","name","gender","dates","yearOfBirth","yearOfDeath","placeOfBirth","placeOfDeath","url","lon","lat","born.lon","born.lat","died.lon","died.lat","address"
1531,"Lowinsky, Thomas","Male","1892–1947",1892,1947,"London, United Kingdom","Aldbourne, United Kingdom","http://www.tate.org.uk/art/artists/thomas-lowinsky-1531",-0.127758,51.5074,-0.127758,51.5074,-1.62053,51.4792,"aldbourne, wiltshire, uk"
1532,"Lowndes, Alan","Male","1921–1978",1921,1978,"Stockport, United Kingdom","","http://www.tate.org.uk/art/artists/alan-lowndes-1532",-2.15753,53.4106,-2.15753,53.4106,NA,NA,NA
1533,"Lowry, L.S.","Male","1887–1976",1887,1976,"England, United Kingdom","Salford","http://www.tate.org.uk/art/artists/ls-lowry-1533",-1.17432,52.3555,-1.17432,52.3555,-2.29013,53.4875,"salford, uk"
11405,"Lozano-Hemmer, Rafael","Male","born 1967",1967,NA,"Ciudad de México, México","","http://www.tate.org.uk/art/artists/rafael-lozano-hemmer-11405",-99.1332,19.4326,-99.1332,19.4326,NA,NA,NA
1534,"Lozoff, Abrasha","Male","1887–1936",1887,1936,"","","http://www.tate.org.uk/art/artists/abrasha-lozoff-1534",NA,NA,NA,NA,NA,NA,NA
2708,"Lucas, David","Male","1802–1881",1802,1881,"","","http://www.tate.org.uk/art/artists/david-lucas-2708",NA,NA,NA,NA,NA,NA,NA
356,"Lucas, John Seymour","Male","1849–1923",1849,1923,"","","http://www.tate.org.uk/art/artists/john-seymour-lucas-356",NA,NA,NA,NA,NA,NA,NA
2643,"Lucas, Sarah","Female","born 1962",1962,NA,"London, United Kingdom","","http://www.tate.org.uk/art/artists/sarah-lucas-2643",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
2341,"Lucio","Male","1929–1998",1929,1998,"Madrid, España","","http://www.tate.org.uk/art/artists/lucio-lucio-munoz-2341",-3.70379,40.4168,-3.70379,40.4168,NA,NA,NA
1535,"Lucy and Eegyudluk","","born c.1918, born c.1930",1918,NA,"","","http://www.tate.org.uk/art/artists/lucy-and-eegyudluk-1535",NA,NA,NA,NA,NA,NA,NA
1536,"Lundquist, Evert","Male","born 1904",1904,NA,"Stockholm, Sverige","","http://www.tate.org.uk/art/artists/evert-lundquist-1536",18.0686,59.3293,18.0686,59.3293,NA,NA,NA
8594,"Lüpertz, Markus","Male","born 1941",1941,NA,"Liberec, Ceská Republika","","http://www.tate.org.uk/art/artists/markus-lupertz-8594",15.0543,50.7663,15.0543,50.7663,NA,NA,NA
16926,"Lye, Len","","",NA,NA,"","","http://www.tate.org.uk/art/artists/len-lye-16926",NA,NA,NA,NA,NA,NA,NA
9403,"M/M (Paris, France)","","founded 1992",1992,NA,"","","http://www.tate.org.uk/art/artists/mm-paris-france-9403",NA,NA,NA,NA,NA,NA,NA
357,"Macallum, Hamilton","Male","1841–1896",1841,1896,"Argyll, United Kingdom","Beer, United Kingdom","http://www.tate.org.uk/art/artists/hamilton-macallum-357",-5.23837,56.4294,-5.23837,56.4294,-3.09417,50.6996,"beer, devon, uk"
2440,"Macartney, Carlile Henry Hayes","Male","c.1842–1924",1842,1924,"","","http://www.tate.org.uk/art/artists/carlile-henry-hayes-macartney-2440",NA,NA,NA,NA,NA,NA,NA
358,"Macbeth, Robert Walker","Male","1848–1910",1848,1910,"Glasgow, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/robert-walker-macbeth-358",-4.25181,55.8642,-4.25181,55.8642,-0.127758,51.5074,"london, uk"
1537,"MacBryde, Robert","Male","1913–1966",1913,1966,"Maybole, United Kingdom","","http://www.tate.org.uk/art/artists/robert-macbryde-1537",-4.67905,55.353,-4.67905,55.353,NA,NA,NA
359,"Maccallum, Andrew","Male","1821–1902",1821,1902,"","","http://www.tate.org.uk/art/artists/andrew-maccallum-359",NA,NA,NA,NA,NA,NA,NA
1538,"Maccari, Mino","Male","1898–1989",1898,1989,"Siena, Italia","Roma, Italia","http://www.tate.org.uk/art/artists/mino-maccari-1538",11.2542,43.2572,11.2542,43.2572,12.4964,41.9028,"rome, italy"
6024,"Macchi, Jorge","Male","born 1963",1963,NA,"La Plata, Argentina","","http://www.tate.org.uk/art/artists/jorge-macchi-6024",-57.9543,-34.9213,-57.9543,-34.9213,NA,NA,NA
360,"Maccoll, Dugald Sutherland","Male","1859–1948",1859,1948,"Glasgow, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/dugald-sutherland-maccoll-360",-4.25181,55.8642,-4.25181,55.8642,-0.127758,51.5074,"london, uk"
1539,"Macdonald, Frances","Female","1914–2002",1914,2002,"Wallasey, United Kingdom","","http://www.tate.org.uk/art/artists/frances-macdonald-1539",-3.06622,53.4265,-3.06622,53.4265,NA,NA,NA
361,"Macdonald, Georgina","Female","1840–1920",1840,1920,"","","http://www.tate.org.uk/art/artists/georgina-macdonald-lady-burne-jones-361",NA,NA,NA,NA,NA,NA,NA
362,"Macgregor, William York","Male","1855–1923",1855,1923,"Argyll and Bute, United Kingdom","Oban","http://www.tate.org.uk/art/artists/william-york-macgregor-362",-5.0319,56.37,-5.0319,56.37,-5.47105,56.4152,"oban, argyll and bute, uk"
1540,"Mach, David","Male","born 1956",1956,NA,"Methil, United Kingdom","","http://www.tate.org.uk/art/artists/david-mach-1540",-3.0164,56.1848,-3.0164,56.1848,NA,NA,NA
1541,"Machin, Arnold","Male","1911–1999",1911,1999,"Stoke on Trent","Staffordshire, United Kingdom","http://www.tate.org.uk/art/artists/arnold-machin-1541",-2.1794,53.0027,-2.1794,53.0027,-2.10452,52.7698,"staffordshire, uk"
7507,"Maciá, Oswaldo","Male","born 1960",1960,NA,"Cartagena, Colombia","","http://www.tate.org.uk/art/artists/oswaldo-macia-7507",-75.5336,10.4137,-75.5336,10.4137,NA,NA,NA
